[2025-06-01T16:37:08.669+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.722+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.724+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-06-01T16:38:23.280+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:24.902+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:26.467+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:28.056+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:29.730+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:31.352+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:32.992+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:34.561+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:36.180+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:37.810+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:39.439+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:41.049+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:42.671+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:44.277+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:45.852+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:47.499+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:49.101+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:50.669+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:52.273+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:53.881+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:55.493+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:57.134+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:58.719+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:00.355+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:01.965+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:03.591+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:05.162+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:06.747+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:08.319+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:09.902+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:11.520+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:13.131+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:14.762+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:16.386+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:17.998+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:19.661+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:21.218+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:22.829+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:24.450+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:26.068+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:27.682+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:29.316+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:30.937+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:32.574+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:34.204+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:35.832+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:37.455+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:39.092+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:40.710+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:42.302+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:43.928+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:45.518+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:47.109+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:48.663+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:50.300+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:51.895+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:53.462+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:55.070+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:56.697+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:58.335+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:39:59.946+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
